level1	 level2 	KOGid
Function unknown	Uncharacterized conserved protein	[KOG3944]
Cell cycle control, cell division, chromosome partitioning	Serine/threonine specific protein phosphatase involved in cell cycle control, PP2A-related	[KOG0373]
Signal transduction mechanisms	Serine/threonine specific protein phosphatase involved in cell cycle control, PP2A-related	[KOG0373]
Translation, ribosomal structure and biogenesis	MIF4G domain-containing protein	[KOG3942]
Transcription	RNA polymerase I transcription factor	[KOG2434]
Signal transduction mechanisms	Muskelin	[KOG2437]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG4275]
General function prediction only	Predicted haloacid dehalogenase-like hydrolase	[KOG3120]
Signal transduction mechanisms	Serine/threonine specific protein phosphatase PP1, catalytic subunit	[KOG0374]
General function prediction only	Serine/threonine specific protein phosphatase PP1, catalytic subunit	[KOG0374]
Transcription	DNA-directed RNA polymerase III subunit	[KOG3122]
Translation, ribosomal structure and biogenesis	Diphthine synthase	[KOG3123]
Amino acid transport and metabolism	Pyrroline-5-carboxylate reductase	[KOG3124]
Nucleotide transport and metabolism	Thymidine kinase	[KOG3125]
RNA processing and modification	Mediator of U snRNA nuclear export PHAX	[KOG3948]
Nucleotide transport and metabolism	Deoxycytidylate deaminase	[KOG3127]
Cell wall/membrane/envelope biogenesis	GPI-alpha-mannosyltransferase III (GPI10/PIG-B) involved in glycosylphosphatidylinositol anchor biosynthesis	[KOG1771]
Posttranslational modification, protein turnover, chaperones	GPI-alpha-mannosyltransferase III (GPI10/PIG-B) involved in glycosylphosphatidylinositol anchor biosynthesis	[KOG1771]
Signal transduction mechanisms	Predicted Rho GTPase-activating protein	[KOG4724]
Function unknown	Uncharacterized conserved protein	[KOG4539]
Chromatin structure and dynamics	Nucleosome remodeling factor, subunit CAF1/NURF55/MSI1	[KOG0264]
Signal transduction mechanisms	Protein serine/threonine phosphatase RDGC/PPEF, contains STphosphatase and EF-hand domains	[KOG0377]
Cell cycle control, cell division, chromosome partitioning	CDK5 kinase activator p35/Nck5a	[KOG3932]
Transcription	Positive cofactor 2 (PC2), subunit of a multiprotein coactivator of RNA polymerase II	[KOG4274]
Coenzyme transport and metabolism	Riboflavin kinase	[KOG3110]
Function unknown	Uncharacterized conserved protein	[KOG4506]
Defense mechanisms	Mercaptopyruvate sulfurtransferase/thiosulfate sulfurtransferase	[KOG1529]
General function prediction only	Zn finger protein	[KOG2893]
Translation, ribosomal structure and biogenesis	Prolyl-tRNA synthetase	[KOG2324]
General function prediction only	Surface glycoprotein	[KOG2891]
Function unknown	Predicted membrane protein	[KOG2890]
General function prediction only	DNA-binding protein YL1 and related proteins	[KOG2897]
General function prediction only	UV radiation resistance associated protein	[KOG2896]
Carbohydrate transport and metabolism	Pyruvate kinase	[KOG2323]
Signal transduction mechanisms	N-methyl-D-aspartate receptor glutamate-binding subunit	[KOG2322]
General function prediction only	Acetyltransferase, (GNAT) family	[KOG3234]
General function prediction only	Subunit of the major N alpha-acetyltransferase	[KOG3235]
Function unknown	Predicted membrane protein	[KOG3236]
Lipid transport and metabolism	Predicted phosphate acyltransferase, contains PlsC domain	[KOG2898]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar assembly/sorting protein DID4	[KOG3230]
Chromatin structure and dynamics	Chromosome condensation complex Condensin, subunit H	[KOG2328]
Cell cycle control, cell division, chromosome partitioning	Chromosome condensation complex Condensin, subunit H	[KOG2328]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar assembly/sorting protein DID2	[KOG3232]
Transcription	RNA polymerase III, subunit C34	[KOG3233]
Signal transduction mechanisms	Calcineurin-mediated signaling pathway inhibitor DSCR1	[KOG4019]
General function prediction only	Calcineurin-mediated signaling pathway inhibitor DSCR1	[KOG4019]
Amino acid transport and metabolism	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	[KOG3055]
Cell cycle control, cell division, chromosome partitioning	Protein required for S-phase initiation or completion	[KOG3056]
Energy production and conversion	Cytochrome c oxidase, subunit VIb/COX12	[KOG3057]
Posttranslational modification, protein turnover, chaperones	COP9 signalosome, subunit CSN6	[KOG3050]
Signal transduction mechanisms	COP9 signalosome, subunit CSN6	[KOG3050]
Translation, ribosomal structure and biogenesis	RNA binding/translational regulation protein of the SUA5 family	[KOG3051]
Energy production and conversion	Cytochrome c1	[KOG3052]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, subunit PSMD9	[KOG3129]
Transcription	Transcription initiation factor TFIID, subunit TAF7	[KOG4011]
General function prediction only	Coiled-coil protein TPD52	[KOG4010]
Inorganic ion transport and metabolism	Predicted Cu2+ homeostasis protein CutC	[KOG4013]
Chromatin structure and dynamics	Histone H1	[KOG4012]
Lipid transport and metabolism	Fatty acid-binding protein FABP	[KOG4015]
Function unknown	Uncharacterized conserved protein (contains TPR repeat)	[KOG4014]
Replication, recombination and repair	DNA excision repair protein XPA/XPAC/RAD14	[KOG4017]
Signal transduction mechanisms	Synaptic vesicle protein Synaptogyrin involved in regulation of Ca2+-dependent exocytosis	[KOG4016]
Intracellular trafficking, secretion, and vesicular transport	Synaptic vesicle protein Synaptogyrin involved in regulation of Ca2+-dependent exocytosis	[KOG4016]
General function prediction only	Zn-finger protein	[KOG4722]
Signal transduction mechanisms	FOG: Immunoglobulin C-2 Type/fibronectin type III domains	[KOG3510]
Function unknown	Uncharacterized conserved protein	[KOG2435]
Lipid transport and metabolism	Carnitine O-acyltransferase CROT	[KOG3718]
RNA processing and modification	Splicing factor 3a, subunit 2	[KOG0227]
General function prediction only	Synaptic vesicle transporter SV2 (major facilitator superfamily)	[KOG0253]
Function unknown	Uncharacterized conserved protein	[KOG3828]
Function unknown	WD repeat protein TSSC1, WD repeat superfamily	[KOG1007]
General function prediction only	Predicted hormone receptor interactor	[KOG4276]
Inorganic ion transport and metabolism	Ca2+-binding protein Regucalcin/SMP30	[KOG4499]
Signal transduction mechanisms	Ca2+-binding protein Regucalcin/SMP30	[KOG4499]
Function unknown	Uncharacterized conserved protein	[KOG3940]
Intracellular trafficking, secretion, and vesicular transport	Karyopherin (importin) alpha	[KOG0166]
Transcription	RNA polymerase II transcription elongation factor Elongin/SIII, subunit elongin B	[KOG4495]
Nucleotide transport and metabolism	Cell surface ATP diphosphohydrolase Apyrase	[KOG4494]
General function prediction only	Uncharacterized conserved protein WDR8, contains WD repeats	[KOG4497]
Function unknown	Predicted coiled-coil protein	[KOG4496]
Function unknown	Predicted membrane protein	[KOG4491]
Intracellular trafficking, secretion, and vesicular transport	Translocon-associated complex TRAP, gamma subunit	[KOG4490]
Function unknown	Uncharacterized conserved protein	[KOG4493]
Amino acid transport and metabolism	Chorismate synthase	[KOG4492]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L35	[KOG3436]
Cell cycle control, cell division, chromosome partitioning	Anaphase-promoting complex (APC), subunit 10	[KOG3437]
Posttranslational modification, protein turnover, chaperones	Anaphase-promoting complex (APC), subunit 10	[KOG3437]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L22	[KOG3434]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L54/L37	[KOG3435]
Transcription	Transcription mediator-related factor	[KOG4309]
Function unknown	LRR-containing protein	[KOG4308]
Function unknown	Uncharacterized conserved protein (Rhs family)	[KOG4659]
General function prediction only	Huntingtin interacting protein HYPE	[KOG3824]
Signal transduction mechanisms	RhoGEF GTPase	[KOG4305]
Inorganic ion transport and metabolism	Copper chaperone for superoxide dismutase	[KOG4656]
General function prediction only	RNA binding protein RBM12/SWAN	[KOG4307]
Signal transduction mechanisms	Glycosylphosphatidylinositol-specific phospholipase C	[KOG4306]
Cytoskeleton	Beta-dystrobrevin	[KOG4301]
Chromatin structure and dynamics	HORMA domain	[KOG4652]
Amino acid transport and metabolism	Vesicular inhibitory amino acid transporter	[KOG4303]
Signal transduction mechanisms	Vesicular inhibitory amino acid transporter	[KOG4303]
Cell cycle control, cell division, chromosome partitioning	Microtubule-associated protein essential for anaphase spindle elongation	[KOG4302]
Cytoskeleton	Microtubule-associated protein essential for anaphase spindle elongation	[KOG4302]
Transcription	RING1 interactor RYBP and related Zn-finger-containing proteins	[KOG4477]
Signal transduction mechanisms	Gluconate transport-inducing protein	[KOG4476]
Carbohydrate transport and metabolism	Gluconate transport-inducing protein	[KOG4476]
General function prediction only	FOG: Immunoglobin and related proteins	[KOG4475]
Inorganic ion transport and metabolism	FOG: Immunoglobin and related proteins	[KOG4475]
Function unknown	Uncharacterized conserved protein	[KOG4474]
Function unknown	Uncharacterized membrane protein	[KOG4473]
Carbohydrate transport and metabolism	Glycolipid 2-alpha-mannosyltransferase (alpha-1,2-mannosyltransferase)	[KOG4472]
Lipid transport and metabolism	Phosphatidylinositol 3-phosphate 3-phosphatase myotubularin MTM1	[KOG4471]
Intracellular trafficking, secretion, and vesicular transport	Phosphatidylinositol 3-phosphate 3-phosphatase myotubularin MTM1	[KOG4471]
Posttranslational modification, protein turnover, chaperones	Proteasome activator subunit	[KOG4470]
Signal transduction mechanisms	Heparin sulfate cell surface proteoglycan	[KOG3821]
Transcription	Transcription factor e(y)2	[KOG4479]
Function unknown	Uncharacterized membrane protein	[KOG4478]
Signal transduction mechanisms	Rho guanine nucleotide exchange factor CDEP	[KOG3531]
Energy production and conversion	Succinyl-CoA:alpha-ketoacid-CoA transferase	[KOG3822]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar protein sorting-associated protein	[KOG1809]
General function prediction only	AAA ATPase containing von Willebrand factor type A (vWA) domain	[KOG1808]
Replication, recombination and repair	DNA replication helicase	[KOG1805]
RNA processing and modification	RNA helicase	[KOG1804]
Replication, recombination and repair	Helicases	[KOG1807]
Replication, recombination and repair	DEAD box containing helicases	[KOG1806]
RNA processing and modification	tRNA-splicing endonuclease positive effector (SEN1)	[KOG1801]
Nucleotide transport and metabolism	Ferredoxin/adrenodoxin reductase	[KOG1800]
Replication, recombination and repair	DNA helicase	[KOG1803]
RNA processing and modification	RNA helicase nonsense mRNA reducing factor (pNORF1)	[KOG1802]
Cytoskeleton	Ca2+-binding actin-bundling protein (fimbrin/plastin), EF-Hand protein superfamily	[KOG0046]
Inorganic ion transport and metabolism	Catalase	[KOG0047]
Signal transduction mechanisms	Ca2+ sensor (EF-Hand superfamily)	[KOG0044]
Posttranslational modification, protein turnover, chaperones	Cytosolic Ca2+-dependent cysteine protease (calpain), large subunit (EF-Hand protein superfamily)	[KOG0045]
Signal transduction mechanisms	Cytosolic Ca2+-dependent cysteine protease (calpain), large subunit (EF-Hand protein superfamily)	[KOG0045]
Energy production and conversion	Glycerol-3-phosphate dehydrogenase	[KOG0042]
Function unknown	Uncharacterized conserved protein, contains DM10 domain	[KOG0043]
Cytoskeleton	Ca2+-binding actin-bundling protein (spectrin), alpha chain (EF-Hand protein superfamily)	[KOG0040]
General function prediction only	Predicted Ca2+-binding protein, EF-Hand protein superfamily	[KOG0041]
RNA processing and modification	Ribosomal RNA adenine dimethylase	[KOG0820]
RNA processing and modification	Predicted ribosomal RNA adenine dimethylase	[KOG0821]
Cell cycle control, cell division, chromosome partitioning	Protein kinase inhibitor	[KOG0822]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG0823]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG0824]
General function prediction only	PHD Zn-finger protein	[KOG0825]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase involved in peroxisome organization	[KOG0826]
Transcription	Transcription factor, Myb superfamily	[KOG0049]
RNA processing and modification	U5 snRNP spliceosome subunit	[KOG1795]
Carbohydrate transport and metabolism	N-Acetylglucosamine kinase	[KOG1794]
Function unknown	Uncharacterized conserved protein (Neuroblastoma-amplified protein)	[KOG1797]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar protein sorting-associated protein	[KOG1796]
Function unknown	Uncharacterized conserved protein	[KOG1791]
Translation, ribosomal structure and biogenesis	60s ribosomal protein L34	[KOG1790]
Cytoskeleton	WD40 repeat stress protein/actin interacting protein	[KOG0318]
Intracellular trafficking, secretion, and vesicular transport	Reticulon	[KOG1792]
Function unknown	Conserved WD40 repeat-containing protein	[KOG0316]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase, integral peroxisomal membrane protein	[KOG0317]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG0314]
General function prediction only	G-protein beta subunit-like protein (contains WD40 repeats)	[KOG0315]
Nucleotide transport and metabolism	Dihydropyrimidine dehydrogenase	[KOG1799]
Cytoskeleton	Microtubule binding protein YTM1 (contains WD40 repeats)	[KOG0313]
Function unknown	Conserved WD40 repeat-containing protein	[KOG0310]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG0311]
Posttranslational modification, protein turnover, chaperones	E3 ubiquitin-protein ligase/Putative upstream regulatory element binding protein	[KOG0939]
Transcription	E3 ubiquitin-protein ligase/Putative upstream regulatory element binding protein	[KOG0939]
Signal transduction mechanisms	WW domain binding protein WBP-2, contains GRAM domain	[KOG3294]
Cell cycle control, cell division, chromosome partitioning	Cyclin B and related kinase-activating proteins	[KOG0653]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, ATPase RPT5	[KOG0652]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L24	[KOG1708]
Secondary metabolites biosynthesis, transport and catabolism	Phenylalanine and histidine ammonia-lyase	[KOG0222]
Carbohydrate transport and metabolism	Aquaporin (major intrinsic protein family)	[KOG0223]
Replication, recombination and repair	Mismatch repair ATPase MSH4 (MutS family)	[KOG0220]
General function prediction only	PHD finger protein	[KOG0957]
General function prediction only	DNA polymerase theta/eta, DEAD-box superfamily	[KOG0950]
RNA processing and modification	RNA helicase BRR2, DEAD-box superfamily	[KOG0951]
Carbohydrate transport and metabolism	Aquaporin (major intrinsic protein family)	[KOG0224]
Energy production and conversion	Pyruvate dehydrogenase E1, alpha subunit	[KOG0225]
Lipid transport and metabolism	C-4 sterol methyl oxidase	[KOG0873]
Carbohydrate transport and metabolism	Beta-fructofuranosidase (invertase)	[KOG0228]
Signal transduction mechanisms	Phosphatidylinositol-4-phosphate 5-kinase	[KOG0229]
Replication, recombination and repair	DNA damage-responsive repressor GIS1/RPH1, jumonji superfamily	[KOG0958]
Posttranslational modification, protein turnover, chaperones	N-arginine dibasic convertase NRD1 and related Zn2+-dependent endopeptidases, insulinase superfamily	[KOG0959]
Carbohydrate transport and metabolism	UDP-glucose:glycoprotein glucosyltransferase	[KOG1879]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG1571]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L10A	[KOG1570]
General function prediction only	Aldehyde reductase	[KOG1573]
Defense mechanisms	Predicted protein tyrosine phosphatase	[KOG1572]
Energy production and conversion	Voltage-gated shaker-like K+ channel, subunit beta/KCNAB	[KOG1575]
Cell cycle control, cell division, chromosome partitioning	G1/S-specific cyclin E	[KOG0655]
General function prediction only	Aldo/keto reductase family proteins	[KOG1577]
Energy production and conversion	Predicted oxidoreductase	[KOG1576]
Amino acid transport and metabolism	Homocysteine S-methyltransferase	[KOG1579]
Inorganic ion transport and metabolism	Predicted carbonic anhydrase involved in protection against oxidative damage	[KOG1578]
Chromatin structure and dynamics	Structural maintenance of chromosome protein SMC5/Spr18, SMC superfamily	[KOG0979]
Cell cycle control, cell division, chromosome partitioning	Structural maintenance of chromosome protein SMC5/Spr18, SMC superfamily	[KOG0979]
Replication, recombination and repair	Structural maintenance of chromosome protein SMC5/Spr18, SMC superfamily	[KOG0979]
Energy production and conversion	Dihydrolipoamide transacylase (alpha-keto acid dehydrogenase E2 subunit)	[KOG0558]
Signal transduction mechanisms	Rho/Rac1-interacting serine/threonine kinase Citron	[KOG0976]
Inorganic ion transport and metabolism	K+-channel ERG and related proteins, contain PAS/PAC sensor domain	[KOG0498]
Signal transduction mechanisms	K+-channel ERG and related proteins, contain PAS/PAC sensor domain	[KOG0498]
Transcription	Thyroid hormone receptor-associated coactivator complex component (TRAP170)	[KOG1875]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (DnaJ superfamily)	[KOG0550]
Posttranslational modification, protein turnover, chaperones	Hsp90 co-chaperone CNS1 (contains TPR repeats)	[KOG0551]
Posttranslational modification, protein turnover, chaperones	FKBP-type peptidyl-prolyl cis-trans isomerase	[KOG0552]
General function prediction only	TPR repeat-containing protein	[KOG0553]
Translation, ribosomal structure and biogenesis	Asparaginyl-tRNA synthetase (mitochondrial)	[KOG0554]
Posttranslational modification, protein turnover, chaperones	Serine proteinase inhibitor (KU family)	[KOG4295]
Translation, ribosomal structure and biogenesis	Aspartyl-tRNA synthetase	[KOG0556]
Energy production and conversion	Dihydrolipoamide acetyltransferase	[KOG0557]
RNA processing and modification	mRNA cap methyltransferase	[KOG1975]
Replication, recombination and repair	DNA topoisomerase I-interacting protein	[KOG1974]
Replication, recombination and repair	DNA mismatch repair protein - MLH3 family	[KOG1977]
Signal transduction mechanisms	Protein tyrosine phosphatase, contains fn3 domain	[KOG0791]
Posttranslational modification, protein turnover, chaperones	Lysyl hydroxylase	[KOG1971]
Cell cycle control, cell division, chromosome partitioning	Checkpoint RAD17-RFC complex, RAD17/RAD24 component	[KOG1970]
Replication, recombination and repair	Checkpoint RAD17-RFC complex, RAD17/RAD24 component	[KOG1970]
Chromatin structure and dynamics	Chromatin remodeling protein, contains PHD Zn-finger	[KOG1973]
Function unknown	Uncharacterized conserved protein	[KOG1972]
Signal transduction mechanisms	Huntingtin interacting protein 1 (Hip1) interactor Hippi	[KOG0972]
Replication, recombination and repair	DNA mismatch repair protein - MLH1 family	[KOG1979]
Replication, recombination and repair	DNA mismatch repair protein - MLH2/PMS1/Pms2 family	[KOG1978]
Function unknown	Uncharacterized conserved protein	[KOG4789]
Cell cycle control, cell division, chromosome partitioning	Histone transcription regulator HIRA, WD repeat superfamily	[KOG0973]
Transcription	Histone transcription regulator HIRA, WD repeat superfamily	[KOG0973]
Posttranslational modification, protein turnover, chaperones	Subtilisin-related protease/Vacuolar protease B	[KOG1153]
Signal transduction mechanisms	Signal transduction serine/threonine kinase with PAS/PAC sensor domain	[KOG1152]
Signal transduction mechanisms	Tousled-like protein kinase	[KOG1151]
Posttranslational modification, protein turnover, chaperones	Predicted molecular chaperone (DnaJ superfamily)	[KOG1150]
Signal transduction mechanisms	Predicted guanosine polyphosphate pyrophosphohydrolase/synthase	[KOG1157]
Extracellular structures	Mucin/alpha-tectorin	[KOG4291]
Cell cycle control, cell division, chromosome partitioning	Anaphase-promoting complex (APC), Cdc23 subunit	[KOG1155]
Posttranslational modification, protein turnover, chaperones	Anaphase-promoting complex (APC), Cdc23 subunit	[KOG1155]
Amino acid transport and metabolism	Gamma-glutamyl kinase	[KOG1154]
Energy production and conversion	NADP-dependent flavoprotein reductase	[KOG1159]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L32	[KOG0878]
General function prediction only	Jacalin-like lectin domain-containing protein	[KOG4525]
RNA processing and modification	RNA helicase	[KOG0334]
Function unknown	Uncharacterized conserved protein	[KOG4481]
General function prediction only	Huntingtin interacting protein HYPK	[KOG3450]
Transcription	Transcriptional coactivator	[KOG0570]
Signal transduction mechanisms	Serine/threonine protein phosphatase	[KOG1379]
Amino acid transport and metabolism	Asparagine synthase (glutamine-hydrolyzing)	[KOG0571]
Function unknown	Uncharacterized conserved protein	[KOG3925]
Intracellular trafficking, secretion, and vesicular transport	Transport protein Sec61, alpha subunit	[KOG1373]
Posttranslational modification, protein turnover, chaperones	Transport protein Sec61, alpha subunit	[KOG1373]
Carbohydrate transport and metabolism	GDP-mannose 4,6 dehydratase	[KOG1372]
Cell wall/membrane/envelope biogenesis	UDP-glucose 4-epimerase/UDP-sulfoquinovose synthase	[KOG1371]
Coenzyme transport and metabolism	S-adenosylhomocysteine hydrolase	[KOG1370]
Nucleotide transport and metabolism	Uridine 5'- monophosphate synthase/orotate phosphoribosyltransferase	[KOG1377]
Cytoskeleton	Alpha tubulin	[KOG1376]
Cytoskeleton	Beta tubulin	[KOG1375]
Cytoskeleton	Gamma tubulin	[KOG1374]
General function prediction only	Predicted transporter/transmembrane protein	[KOG2325]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-specific protease	[KOG1864]
Coenzyme transport and metabolism	Porphobilinogen deaminase	[KOG2892]
Signal transduction mechanisms	Integrin beta subunit (N-terminal portion of extracellular region)	[KOG1226]
Extracellular structures	Integrin beta subunit (N-terminal portion of extracellular region)	[KOG1226]
Function unknown	Uncharacterized conserved protein	[KOG4059]
Replication, recombination and repair	DNA damage checkpoint protein RHP9/CRB2/53BP1	[KOG3548]
Transcription	Putative transcription factor FET5	[KOG1534]
Extracellular structures	Syntrophins (type gamma)	[KOG3549]
General function prediction only	PHD Zn-finger protein	[KOG1512]
Transcription	Nuclear receptors of the nerve growth factor-induced protein B type	[KOG4217]
General function prediction only	WD40 repeat protein	[KOG2321]
Signal transduction mechanisms	p21-activated serine/threonine protein kinase	[KOG0578]
General function prediction only	Predicted Zn-finger protein	[KOG3173]
Intracellular trafficking, secretion, and vesicular transport	RAS effector RIN1 (contains VPS domain)	[KOG2320]
Transcription	RNA polymerase II holoenzyme and mediator subcomplex, subunit SURB7/SRB7	[KOG1510]
Cell wall/membrane/envelope biogenesis	Peroxisomal assembly protein PEX3	[KOG4444]
Intracellular trafficking, secretion, and vesicular transport	Peroxisomal assembly protein PEX3	[KOG4444]
Function unknown	Uncharacterized conserved protein XAP-5	[KOG2894]
Secondary metabolites biosynthesis, transport and catabolism	Diacetyl reductase/L-xylulose reductase	[KOG1207]
Signal transduction mechanisms	cAMP-regulated guanine nucleotide exchange factor	[KOG3542]
Secondary metabolites biosynthesis, transport and catabolism	Predicted dehydrogenase	[KOG1205]
Secondary metabolites biosynthesis, transport and catabolism	Predicted dehydrogenase	[KOG1204]
Carbohydrate transport and metabolism	Predicted dehydrogenase	[KOG1203]
Lipid transport and metabolism	Animal-type fatty acid synthase and related proteins	[KOG1202]
Nucleotide transport and metabolism	Guanylate kinase	[KOG0707]
Function unknown	Predicted membrane protein	[KOG4526]
Replication, recombination and repair	Origin recognition complex, subunit 1, and related proteins	[KOG1514]
General function prediction only	Uncharacterized conserved protein, contains BTB/POZ domain	[KOG2723]
General function prediction only	Predicted methyltransferase	[KOG2899]
Secondary metabolites biosynthesis, transport and catabolism	1-Acyl dihydroxyacetone phosphate reductase and related dehydrogenases	[KOG1209]
Secondary metabolites biosynthesis, transport and catabolism	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	[KOG1208]
General function prediction only	Transcription factor BSH, contains HOX domain	[KOG0491]
Function unknown	Uncharacterized conserved protein	[KOG3237]
Cell wall/membrane/envelope biogenesis	Chondroitin 6-sulfotransferase and related sulfotransferases	[KOG4651]
Extracellular structures	Chondroitin 6-sulfotransferase and related sulfotransferases	[KOG4651]
Extracellular structures	Collagens (type XV)	[KOG3546]
Function unknown	Predicted membrane protein (associated with esophageal cancer in humans)	[KOG3682]
Amino acid transport and metabolism	Isocitrate dehydrogenase, alpha subunit	[KOG0785]
General function prediction only	Bestrophin (Best vitelliform macular dystrophy-associated protein)	[KOG3547]
Intracellular trafficking, secretion, and vesicular transport	Golgi proteins involved in ER retention (RER)	[KOG1688]
Extracellular structures	Collagens (type IV and type XIII), and related proteins	[KOG3544]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L11	[KOG0397]
Function unknown	Uncharacterized conserved protein	[KOG4851]
Extracellular structures	Olfactomedin and related extracellular matrix glycoproteins	[KOG3545]
Transcription	Leucine permease transcriptional regulator	[KOG1861]
Transcription	Transcription initiation factor IIF, large subunit (RAP74)	[KOG2393]
Intracellular trafficking, secretion, and vesicular transport	Prolactin regulatory element-binding protein/Protein transport protein SEC12p	[KOG0771]
Lipid transport and metabolism	Predicted lipase/calmodulin-binding heat-shock protein	[KOG2088]
Posttranslational modification, protein turnover, chaperones	Predicted lipase/calmodulin-binding heat-shock protein	[KOG2088]
Signal transduction mechanisms	Predicted lipase/calmodulin-binding heat-shock protein	[KOG2088]
Function unknown	Uncharacterized conserved protein	[KOG3054]
General function prediction only	Predicted steroid reductase	[KOG4650]
Posttranslational modification, protein turnover, chaperones	NifU-like domain-containing proteins	[KOG2358]
Function unknown	Uncharacterized conserved protein, contains RWD domain	[KOG4018]
Signal transduction mechanisms	Uncharacterized conserved protein, contains DENN and RUN domains	[KOG2080]
Intracellular trafficking, secretion, and vesicular transport	Nuclear transport regulator	[KOG2081]
Inorganic ion transport and metabolism	K+/Cl- cotransporter KCC1 and related transporters	[KOG2082]
Inorganic ion transport and metabolism	Na+/K+ symporter	[KOG2083]
Chromatin structure and dynamics	Predicted histone tail methylase containing SET domain	[KOG2084]
Signal transduction mechanisms	Uncharacterized RUN domain protein	[KOG3759]
Nuclear structure	Protein tyrosine phosphatase SHP1/Cofactor for p97 ATPase-mediated vesicle membrane fusion	[KOG2086]
Signal transduction mechanisms	Glycoprotein hormone receptor	[KOG2087]
Lipid transport and metabolism	Hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase	[KOG1683]
Transcription	Myotrophin and similar proteins	[KOG4214]
General function prediction only	Predicted coiled-coil protein	[KOG4520]
Lipid transport and metabolism	Enoyl-CoA isomerase	[KOG1682]
Transcription	DNA-directed RNA polymerase, subunit L	[KOG3438]
Intracellular trafficking, secretion, and vesicular transport	Nuclear protein export factor	[KOG1860]
Cell cycle control, cell division, chromosome partitioning	Nuclear protein export factor	[KOG1860]
Lipid transport and metabolism	Enoyl-CoA isomerase	[KOG1681]
Transcription	Putative transcriptional repressor regulating G2/M transition	[KOG4124]
Cell cycle control, cell division, chromosome partitioning	Putative transcriptional repressor regulating G2/M transition	[KOG4124]
Posttranslational modification, protein turnover, chaperones	Tubulin-tyrosine ligase-related protein	[KOG2158]
Translation, ribosomal structure and biogenesis	tRNA nucleotidyltransferase/poly(A) polymerase	[KOG2159]
Cell cycle control, cell division, chromosome partitioning	Sister chromatid cohesion protein	[KOG2152]
Posttranslational modification, protein turnover, chaperones	Protease, Ulp1 family	[KOG0778]
Transcription	CCR4-NOT transcriptional regulation complex, NOT5 subunit	[KOG2150]
Transcription	Predicted transcriptional regulator	[KOG2151]
Cell cycle control, cell division, chromosome partitioning	Predicted transcriptional regulator	[KOG2151]
General function prediction only	Predicted transcriptional regulator	[KOG2151]
Posttranslational modification, protein turnover, chaperones	Tubulin-tyrosine ligase-related protein	[KOG2156]
Posttranslational modification, protein turnover, chaperones	Predicted tubulin-tyrosine ligase	[KOG2157]
Translation, ribosomal structure and biogenesis	Predicted nucleolar protein involved in ribosome biogenesis	[KOG2154]
Posttranslational modification, protein turnover, chaperones	Tubulin-tyrosine ligase-related protein	[KOG2155]
Translation, ribosomal structure and biogenesis	Elongation factor-type GTP-binding protein	[KOG0462]
General function prediction only	Predicted coiled-coil protein	[KOG4398]
Signal transduction mechanisms	Intermediate in Toll signal transduction pathway (ECSIT)	[KOG3941]
Lipid transport and metabolism	Inositol phospholipid synthesis protein, Scs3p	[KOG3750]
Coenzyme transport and metabolism	Dihydropteroate synthase/7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase/Dihydroneopterin aldolase	[KOG2544]
Function unknown	Uncharacterized conserved protein	[KOG3058]
RNA processing and modification	RNA-binding protein hnRNP-M	[KOG4212]
Cytoskeleton	Pinin (desmosome-associated protein)	[KOG3756]
RNA processing and modification	mRNA splicing factor ATP-dependent RNA helicase	[KOG0924]
General function prediction only	Uncharacterized conserved protein, contains Josephin domain	[KOG2934]
General function prediction only	Predicted glycosyltransferase	[KOG3339]
